,type,primary_title,original_title,premiered,runtime_minutes,genres,rating,votes
7522,movie,Mystery of Edwin Drood,Mystery of Edwin Drood,1935.0,87.0,"Drama,Horror,Mystery",6.5,517
7523,movie,Phantom Ship,The Mystery of the Mary Celeste,1935.0,80.0,"Drama,Horror,Mystery",5.4,838
7567,movie,Ouanga,Ouanga,1936.0,56.0,Horror,4.4,82
7616,movie,The Raven,The Raven,1935.0,61.0,"Crime,Horror",6.9,5617
7710,movie,Der Student von Prag,Der Student von Prag,1935.0,87.0,Horror,7.0,166
7799,movie,Werewolf of London,Werewolf of London,1935.0,75.0,"Drama,Fantasy,Horror",6.3,5690
7889,movie,The Macabre Trunk,El baúl macabro,1936.0,79.0,"Horror,Mystery,Sci-Fi",5.9,47
7990,movie,The Crime of Doctor Crespi,The Crime of Doctor Crespi,1935.0,63.0,"Crime,Horror,Mystery",5.5,313
8021,movie,The Devil-Doll,The Devil-Doll,1936.0,78.0,"Drama,Horror,Sci-Fi",7.0,4436
8032,movie,Dracula's Daughter,Dracula's Daughter,1936.0,71.0,"Drama,Fantasy,Horror",6.3,6859
8061,movie,Die ewige Maske,Die ewige Maske,1935.0,74.0,"Drama,Horror",6.7,30
8103,movie,Fährmann Maria,Fährmann Maria,1936.0,85.0,"Fantasy,Horror,Mystery",7.0,286
8132,movie,The Man of Stone,Le golem,1936.0,83.0,"Fantasy,Horror",6.3,232
8183,movie,The Hound of the Baskervilles,Der Hund von Baskerville,1937.0,82.0,"Crime,Drama,Horror",5.9,143
8193,movie,The Invisible Ray,The Invisible Ray,1936.0,80.0,"Horror,Sci-Fi,Thriller",6.5,2570
8292,movie,The Man Who Lived Again,The Man Who Changed His Mind,1936.0,66.0,"Horror,Sci-Fi",6.6,1088
8375,movie,Pan Twardowski,Pan Twardowski,1936.0,85.0,"Fantasy,Horror",6.7,56
8437,movie,Revolt of the Zombies,Revolt of the Zombies,1936.0,65.0,"Adventure,Horror",3.4,1725
8487,movie,Shadow of Chinatown,Shadow of Chinatown,1936.0,281.0,"Adventure,Crime,Horror",4.5,271
8550,movie,The Super Madman,El superloco,1937.0,65.0,"Comedy,Horror,Sci-Fi",4.7,35
8553,movie,The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,1936.0,76.0,"Drama,Fantasy,Horror",5.8,997
8646,movie,The Walking Dead,The Walking Dead,1936.0,66.0,"Crime,Drama,Horror",6.6,2681
9155,movie,The Mystery of the Ghastly Face,El misterio del rostro pálido,1935.0,88.0,"Horror,Mystery,Sci-Fi",6.5,51
9303,movie,SOS Coast Guard,SOS Coast Guard,1937.0,224.0,"Adventure,Horror,Romance",5.9,245
10362,movie,The Cat and the Canary,The Cat and the Canary,1939.0,72.0,"Comedy,Horror,Mystery",7.1,3067
10406,movie,The Human Monster,The Dark Eyes of London,1939.0,76.0,"Drama,Horror",5.7,1355
10422,movie,The Devil's Daughter,The Devil's Daughter,1939.0,52.0,"Drama,Horror",3.3,308
10460,movie,The Face at the Window,The Face at the Window,1939.0,67.0,"Drama,Horror",6.0,491
10531,movie,The Gorilla,The Gorilla,1939.0,66.0,"Comedy,Horror",4.8,1481
10575,movie,The Hound of the Baskervilles,The Hound of the Baskervilles,1939.0,80.0,"Crime,Horror,Mystery",7.4,10556
10617,movie,I Accuse,J'accuse!,1938.0,104.0,"Drama,Horror,Sci-Fi",7.0,571
10692,movie,The Man They Could Not Hang,The Man They Could Not Hang,1939.0,64.0,"Crime,Horror,Sci-Fi",6.8,1746
10817,movie,The Phantom Creeps,The Phantom Creeps,1939.0,265.0,"Action,Family,Horror",4.7,1005
10843,movie,The Return of Doctor X,The Return of Doctor X,1939.0,62.0,"Horror,Mystery,Sci-Fi",5.7,2220
10904,movie,Son of Frankenstein,Son of Frankenstein,1939.0,99.0,"Drama,Horror,Sci-Fi",7.1,10323
10916,movie,De spooktrein,De spooktrein,1939.0,70.0,"Comedy,Crime,Horror",6.7,64
10977,movie,Torture Ship,Torture Ship,1939.0,57.0,"Horror,Sci-Fi",3.4,415
11095,movie,The Ape,The Ape,1940.0,62.0,Horror,4.6,1857
11115,movie,Before I Hang,Before I Hang,1940.0,62.0,"Crime,Horror,Sci-Fi",6.1,1250
11189,movie,Four Shall Die,Four Shall Die,1940.0,72.0,"Crime,Horror",5.7,14
11214,movie,The Devil Bat,The Devil Bat,1940.0,68.0,"Horror,Sci-Fi",5.4,3076
11224,movie,Chamber of Horrors,The Door with Seven Locks,1940.0,89.0,"Drama,Horror,Mystery",5.5,583
11229,movie,Dr. Cyclops,Dr. Cyclops,1940.0,77.0,"Adventure,Drama,Horror",6.4,2588
11300,movie,The Ghost Breakers,The Ghost Breakers,1940.0,85.0,"Comedy,Horror,Mystery",7.1,3511
11343,movie,A Macabre Legacy,Herencia macabra,1940.0,83.0,"Horror,Mystery,Sci-Fi",4.6,29
11378,movie,The Invisible Man Returns,The Invisible Man Returns,1940.0,81.0,"Drama,Horror,Mystery",6.5,4487
11498,movie,El monje loco,El monje loco,1940.0,,"Horror,Mystery",6.7,11
11503,movie,The Mummy's Hand,The Mummy's Hand,1940.0,67.0,"Adventure,Fantasy,Horror",6.0,4131
11663,movie,Son of Ingagi,Son of Ingagi,1940.0,70.0,Horror,4.2,278
11672,movie,The Spell of Amy Nugent,Spellbound,1941.0,82.0,"Drama,Horror",5.5,165
11800,movie,You'll Find Out,You'll Find Out,1940.0,97.0,"Comedy,Horror,Musical",6.1,1309
11976,movie,The Devil Commands,The Devil Commands,1941.0,65.0,"Horror,Sci-Fi",6.2,1200
11990,movie,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,1941.0,113.0,"Drama,Horror,Sci-Fi",6.8,9030
12064,movie,The Ghost Train,The Ghost Train,1941.0,85.0,"Comedy,Horror",6.2,1510
12112,movie,Hold That Ghost,Hold That Ghost,1941.0,86.0,"Comedy,Horror",7.3,3807
12139,movie,Invisible Ghost,Invisible Ghost,1941.0,64.0,"Crime,Drama,Horror",5.2,2241
12236,movie,Man Made Monster,Man Made Monster,1941.0,59.0,"Drama,Horror,Romance",6.1,1560
12260,movie,The Monster and the Girl,The Monster and the Girl,1941.0,65.0,"Crime,Drama,Horror",6.0,627
12301,movie,Old Mother Riley's Ghosts,Old Mother Riley's Ghosts,1941.0,82.0,"Comedy,Horror",5.5,82
12462,movie,Spooks Run Wild,Spooks Run Wild,1941.0,65.0,"Comedy,Horror",5.4,1712
12584,movie,The Wolf Man,The Wolf Man,1941.0,70.0,"Horror,Mystery,Romance",7.2,26967
12685,movie,The Boogie Man Will Get You,The Boogie Man Will Get You,1942.0,66.0,"Comedy,Horror",5.8,1043
12718,movie,Cat People,Cat People,1942.0,73.0,"Fantasy,Horror,Thriller",7.2,22743
12732,movie,The Corpse Vanishes,The Corpse Vanishes,1942.0,64.0,"Horror,Sci-Fi",4.5,3208
12768,movie,Dr. Renault's Secret,Dr. Renault's Secret,1942.0,58.0,"Horror,Mystery,Romance",6.1,497
12837,movie,The Ghost of Frankenstein,The Ghost of Frankenstein,1942.0,67.0,"Drama,Horror,Sci-Fi",6.1,6314
12882,movie,The Hidden Hand,The Hidden Hand,1942.0,63.0,"Comedy,Horror,Mystery",6.1,567
12971,movie,The Living Ghost,The Living Ghost,1942.0,61.0,"Horror,Mystery,Thriller",5.3,588
12991,movie,The Mad Monster,The Mad Monster,1942.0,77.0,"Drama,Horror,Romance",3.5,1768
12996,movie,Carnival of Sinners,La main du diable,1943.0,78.0,"Fantasy,Horror",7.4,1534
13009,movie,Man with Two Lives,Man with Two Lives,1942.0,65.0,"Horror,Thriller",5.2,266
13049,movie,The Mummy's Tomb,The Mummy's Tomb,1942.0,61.0,"Drama,Fantasy,Horror",5.5,3343
13070,movie,The Night Has Eyes,The Night Has Eyes,1942.0,79.0,"Horror,Mystery,Thriller",6.2,735
13071,movie,Night Monster,Night Monster,1942.0,73.0,"Adventure,Drama,Horror",6.2,1468
13244,movie,The Strange Case of Doctor Rx,The Strange Case of Doctor Rx,1942.0,66.0,"Horror,Mystery",5.3,485
13324,movie,The Undying Monster,The Undying Monster,1942.0,63.0,"Drama,Horror,Mystery",6.1,1333
13472,movie,Calling Dr. Death,Calling Dr. Death,1943.0,63.0,"Film-Noir,Horror,Mystery",6.1,1091
13478,movie,Captive Wild Woman,Captive Wild Woman,1943.0,61.0,"Horror,Sci-Fi",5.5,894
13600,movie,Frankenstein Meets the Wolf Man,Frankenstein Meets the Wolf Man,1943.0,74.0,"Fantasy,Horror,Sci-Fi",6.4,8933
13701,movie,I Walked with a Zombie,I Walked with a Zombie,1943.0,69.0,"Drama,Fantasy,Horror",7.0,12398
13766,movie,The Leopard Man,The Leopard Man,1943.0,66.0,"Film-Noir,Horror,Thriller",6.8,5354
13778,movie,The Mad Ghoul,The Mad Ghoul,1943.0,65.0,"Horror,Sci-Fi,Thriller",5.8,764
13826,movie,The Mysterious Doctor,The Mysterious Doctor,1943.0,57.0,"Horror,Mystery,Thriller",5.7,653
13881,movie,Phantom of the Opera,Phantom of the Opera,1943.0,92.0,"Drama,Horror,Music",6.4,7316
13934,movie,The Seventh Victim,The Seventh Victim,1943.0,71.0,"Drama,Horror,Mystery",6.7,6836
13961,movie,Son of Dracula,Son of Dracula,1943.0,80.0,"Drama,Fantasy,Horror",6.1,5443
14155,movie,Bluebeard,Bluebeard,1944.0,72.0,"Crime,Horror,Thriller",5.9,1931
14194,movie,The Climax,The Climax,1944.0,86.0,"Horror,Music,Thriller",5.4,886
14205,movie,Crazy Knights,Crazy Knights,1944.0,63.0,"Comedy,Horror,Romance",5.4,95
14207,movie,Cry of the Werewolf,Cry of the Werewolf,1944.0,63.0,"Crime,Drama,Horror",5.3,998
14208,movie,The Curse of the Cat People,The Curse of the Cat People,1944.0,70.0,"Drama,Horror,Mystery",6.7,6505
14355,movie,House of Frankenstein,House of Frankenstein,1944.0,71.0,"Fantasy,Horror,Sci-Fi",6.2,6939
14371,movie,The Invisible Man's Revenge,The Invisible Man's Revenge,1944.0,78.0,"Crime,Horror,Mystery",5.7,2246
14383,movie,Jungle Woman,Jungle Woman,1944.0,61.0,"Drama,Fantasy,Horror",4.8,462
14401,movie,The Lady and the Monster,The Lady and the Monster,1944.0,86.0,"Horror,Sci-Fi,Thriller",5.7,368
14423,movie,The Lodger,The Lodger,1944.0,84.0,"Crime,Horror,Mystery",7.1,3563
14472,movie,The Monster Maker,The Monster Maker,1944.0,62.0,"Horror,Sci-Fi",4.8,1125
14480,movie,The Mummy's Curse,The Mummy's Curse,1944.0,60.0,"Action,Fantasy,Horror",5.4,2979
14481,movie,The Mummy's Ghost,The Mummy's Ghost,1944.0,61.0,"Fantasy,Horror",5.6,2987
14482,movie,Murder in the Blue Room,Murder in the Blue Room,1944.0,61.0,"Comedy,Horror,Musical",5.9,332
14520,movie,One Body Too Many,One Body Too Many,1944.0,75.0,"Comedy,Horror,Mystery",5.4,1262
14557,movie,Return of the Ape Man,Return of the Ape Man,1944.0,60.0,Horror,4.8,368
14559,movie,The Return of the Vampire,The Return of the Vampire,1943.0,69.0,"Drama,Horror",6.1,2282
14616,movie,Sortilèges,Sortilèges,1945.0,100.0,"Crime,Drama,Horror",6.4,140
14617,movie,The Soul of a Monster,The Soul of a Monster,1944.0,61.0,"Drama,Horror,Romance",4.8,241
14621,movie,Spuk im Schloß,Spuk im Schloß,1947.0,82.0,"Comedy,Horror",5.6,28
14682,movie,The Tower of the Seven Hunchbacks,La torre de los siete jorobados,1944.0,85.0,"Comedy,Fantasy,Horror",7.0,767
